nome_politica;tipo_politica;ano;grande_area;area;subareas;orgaos;publico_alvo;publico_alvo_categ;publico_alvo_legislacao;medida_provisoria;medida_provisoria_inicio_vigencia;instrumento_legal;legislacao;vigencia_inicio;vigencia_fim;objetivos;observacoes;acao_orcamentaria_assoc
Política Nacional de Dados e Informações relacionadas à Violência contra as Mulheres (PNAINFO);Política Nacional;2021;Social;Direitos Humanos;"Direitos da Cidadania;;;;";"Ministério da Saúde; Ministério da Mulher, da Família e dos Direitos Humanos;  Advocacia-Geral da União";Minorias sociais (negros, mulheres, comunidade LGBTQIA+ e pessoas com deficiência);Mulheres em situação de violência doméstica;;Não se aplica;Não se aplica;Lei Ordinária;14232/2021;28 de outubro de 2021;Não encontrado;"Art. 3º São objetivos da PNAINFO:

I - subsidiar a formulação, o planejamento, a implementação, o monitoramento e a avaliação das políticas de enfrentamento à violência contra as mulheres;

II - produzir informações com disponibilidade, autenticidade, integridade e comparabilidade sobre todos os tipos de violência contra as mulheres;

III - manter as informações disponíveis em sistema eletrônico para acesso rápido e pleno, ressalvados os dados cuja restrição de publicidade esteja disciplinada pela legislação;

IV - integrar e subsidiar a implementação e avaliação da Política Nacional de Enfrentamento à Violência contra as Mulheres e do Pacto Nacional pelo Enfrentamento à Violência contra as Mulheres;

V - atender ao disposto no inciso II do caput do art. 8º e no art. 38 da Lei nº 11.340, de 7 de agosto de 2006 (Lei Maria da Penha);

VI - padronizar, integrar e disponibilizar os indicadores das bases de dados dos organismos de políticas para as mulheres, dos órgãos da saúde, da assistência social, da segurança pública e do sistema de justiça, entre outros, envolvidos no atendimento às mulheres em situação de violência;

VII - padronizar, integrar e disponibilizar informações sobre políticas públicas de enfrentamento à violência contra as mulheres;

VIII - atender ao disposto nos acordos internacionais dos quais o Brasil é signatário, no que tange à produção de dados e estatísticas sobre a violência contra as mulheres.";;
Programa Nacional do Bioquerosene;Programa governamental;2021;Desenvolvimento Econômico;Infraestrutura;"Energia;Agricultura;Desenvolvimento Regional e Territorial;;";"Ministério da Infraestrutura; Ministério da Agricultura, Pecuária e Abastecimento; Ministério de Minas e Energia";Cadeias produtivas de setores econômicas incentivados e/ou regulados;População em geral ;"§ 1º São requisitos para a inserção nos benefícios do Programa Nacional do Bioquerosene:

I - a compatibilidade do bioquerosene com as tecnologias de propulsão atuais, de modo a não ser necessário alterar motores, aeronaves e infraestrutura de distribuição existentes;

II - o não comprometimento da segurança no sistema de aviação.

§ 2º O Programa Nacional do Bioquerosene abrangerá o desenvolvimento de tecnologia para mistura, em proporções adequadas, do bioquerosene com o querosene de aviação de origem fóssil, bem como o desenvolvimento de tecnologia que garanta a substituição total do querosene de aviação de origem fóssil.";Não se aplica;Não se aplica;Lei Ordinária;14248/2021;25 de novembro de 2021;Não encontrado;Art. 2º  O Programa Nacional do Bioquerosene tem por objetivo o desenvolvimento de tecnologia limpa na produção de biocombustível.;;
Programa de Proteção e Promoção da Saúde Menstrual;Programa governamental;2021;Social;Assistência Social;"Assistência Social;Saúde";"Ministério da Economia; Ministério da Saúde; Ministério da Educação; Ministério da Cidadania";População em situação de vulnerabilidade social;Familias em situação de vulnerabilidade social;"Art. 3º São beneficiárias do Programa instituído por esta Lei:     Promulgação de partes vetadas

I - estudantes de baixa renda matriculadas em escolas da rede pública de ensino;

II - mulheres em situação de rua ou em situação de vulnerabilidade social extrema;

III - mulheres apreendidas e presidiárias, recolhidas em unidades do sistema penal; e

IV - mulheres internadas em unidades para cumprimento de medida socioeducativa.";Não se aplica;Não se aplica;Lei Ordinária;14214/2021;06 de outubro de 2021;Não encontrado;"Art. 2º É instituído o Programa de Proteção e Promoção da Saúde Menstrual, que constitui estratégia para promoção da saúde e atenção à higiene e possui os seguintes objetivos:

I - combater a precariedade menstrual, identificada como a falta de acesso a produtos de higiene e a outros itens necessários ao período da menstruação feminina, ou a falta de recursos que possibilitem a sua aquisição;

II - oferecer garantia de cuidados básicos de saúde e desenvolver meios para a inclusão das mulheres em ações e programas de proteção à saúde menstrual.";;
Política Nacional de Atenção à Oncologia Pediátrica;Política Nacional;2022;Social;Saúde;Saúde;"Ministério da Saúde; Advocacia-Geral da União";Pessoas afetadas por doenças;Pessoas com câncer;"Parágrafo único. Consideram-se abrangidos pela Política referida no caput deste artigo as crianças e os adolescentes com suspeita ou diagnóstico de câncer, na faixa etária de 0 (zero) a 19 (dezenove) anos.
";Não se aplica;Não se aplica;Lei Ordinária;14308/2022;08 de março de 2022;Não encontrado;"Art. 3º São objetivos da Política Nacional de Atenção à Oncologia Pediátrica:

I - integrar a Política Nacional de Atenção à Oncologia Pediátrica à Política Nacional para a Prevenção e Controle do Câncer no âmbito do Sistema Único de Saúde (SUS), inclusive em seu planejamento estratégico, com a finalidade de dar atenção ao câncer infantojuvenil nas ações e nos programas de combate ao câncer;

II - contemplar a oncologia pediátrica nos serviços e nas ações previstos no plano de atenção para o diagnóstico e o tratamento do câncer, pactuado, integrado e aprovado nas instâncias colegiadas de gestão do SUS, de forma a assegurar a resolubilidade do atendimento em oncologia pediátrica;

III - implantar os planos estaduais de atenção em oncologia pediátrica;

IV - instituir linha de cuidado em oncologia pediátrica;

V - fomentar a formação de centros regionais, integrados às redes local e macrorregional de atenção à saúde, para diagnóstico precoce de câncer infantil no SUS, de forma a garantir acesso aos exames de patologia clínica, anatomia patológica, citometria de fluxo, imuno-histoquímica, biologia molecular, pesquisa de marcadores e exames de imagem;

VI - fortalecer os processos de regulação como garantia de acesso ao diagnóstico precoce, ao tratamento integral, à reabilitação e aos cuidados centrados na família;

VII - aprimorar a habilitação e a contratualização dos serviços de referência, de forma a garantir o acesso da população referenciada a serviços assistenciais de qualidade, conforme legislação vigente do Ministério da Saúde;

VIII - atualizar os centros habilitados em oncologia pediátrica;

IX - implantar serviço de teleconsultoria para facilitar o diagnóstico precoce e o seguimento clínico adequado.";;
Programa Nacional de Prestação de Serviço Civil Voluntário;Programa governamental;2022;Social;Assistência Social;Assistência Social;"Ministério da Mulher, da Família e dos Direitos Humanos; Ministério do Trabalho e Previdência";População em geral;População em geral;"Art. 2º O Programa Nacional de Prestação de Serviço Civil Voluntário tem o objetivo de incentivar os Municípios e o Distrito Federal a ofertar atividades de interesse público, sem vínculo empregatício ou profissional de qualquer natureza, para:

I - jovens com idade entre 18 (dezoito) e 29 (vinte e nove) anos;

II - pessoas com idade superior a 50 (cinquenta) anos sem vínculo formal de emprego há mais de 24 (vinte e quatro) meses; e

III - pessoas com deficiência, nos termos do art. 2º da Lei nº 13.146, de 6 de julho de 2015 (Estatuto da Pessoa com Deficiência).

§ 1º Terão prioridade para aderir ao Programa Nacional de Prestação de Serviço Civil Voluntário os trabalhadores que:

I - forem beneficiários dos programas de transferência de renda de que trata a Lei nº 14.284, de 29 de dezembro de 2021, ou de outros que venham a substituí-los; ou

II - pertencerem à família de baixa renda inscrita no Cadastro Único para Programas Sociais do Governo Federal (CadÚnico), de que trata o art. 6º-F da Lei nº 8.742, de 7 de dezembro de 1993.

§ 2º Para os fins desta Lei, serão consideradas atividades de interesse público aquelas identificadas pelo Município ou pelo Distrito Federal com a finalidade de cumprir os objetivos do Programa Nacional de Prestação de Serviço Civil Voluntário, desde que a conveniência e a oportunidade da sua escolha sejam fundamentadas pelo gestor municipal ou distrital.

Art. 3º Não poderão participar do Programa Nacional de Prestação de Serviço Civil Voluntário aqueles que receberem benefício de natureza previdenciária do Regime Geral de Previdência Social ou dos regimes próprios de previdência social.

Parágrafo único. O disposto no caput deste artigo não se aplica aos beneficiários de pensão por morte ou auxílio-acidente. ";1099/2022;28 de janeiro de 2022;Lei Ordinária;14370/2022;15 de junho de 2022;Não encontrado;Art. 1º Esta Lei institui o Programa Nacional de Prestação de Serviço Civil Voluntário e o Prêmio Portas Abertas, vinculados ao Ministério do Trabalho e Previdência, com o objetivo de auxiliar na inclusão produtiva de pessoas em situação de vulnerabilidade e de reduzir os impactos sociais e no mercado de trabalho causados pela emergência de saúde pública de importância internacional relacionada ao coronavírus responsável pela covid-19.;;
Programa Internet Brasil;Programa governamental;2022;Social;"Direitos Humanos; Educação";"Direitos da Cidadania;;;;";"Ministério da Educação; Ministério das Comunicações";Estudantes e Professores;redes públicas de educação básica;Art. 1º Fica instituído o Programa Internet Brasil, no âmbito do Ministério das Comunicações, com a finalidade de promover o acesso gratuito à internet em banda larga móvel aos alunos da educação básica integrantes de famílias inscritas no Cadastro Único para Programas Sociais do Governo Federal (CadÚnico) matriculados na rede pública de ensino, nas escolas das comunidades indígenas e quilombolas e nas escolas especiais sem fins lucrativos que atuam exclusivamente nessa modalidade.;1077/2021;07 de dezembro de 2021;Lei Ordinária;14351/2022;26 de maio de 2022;Não encontrado;"Art. 2º São objetivos do Programa Internet Brasil:

I - viabilizar aos alunos o acesso a recursos educacionais digitais, incluídos aqueles disponibilizados pela rede pública de ensino;

II - ampliar a participação dos alunos em atividades pedagógicas não presenciais;

III - contribuir para a ampliação do acesso à internet e para a inclusão digital das famílias dos alunos; e

IV - apoiar as políticas públicas que necessitem de acesso à internet para a sua implementação, incluídas as ações de Governo Digital.";;
Programa Nacional de Apoio à Aquisição de Habitação para Profissionais da Segurança Pública (Programa Habite Seguro);Programa governamental;2022;Social;Habitação e Urbanismo;Habitação;"Ministério da Justiça e Segurança Pública; Ministério da Economia; Ministério do Desenvolvimento Regional; Ministério da Mulher, da Família e dos Direitos Humanos";Profissionais da Segurança Pública;Profissionais da Segurança Pública;"Art. 2º O Programa Habite Seguro é destinado aos seguintes profissionais de segurança pública:

I - policiais integrantes da polícia federal, da polícia rodoviária federal, das polícias civis, das polícias penais e das polícias militares:

a) ativos;

b) inativos:

1. da reserva remunerada; e

2. reformados; e

c) aposentados;

II - bombeiros integrantes dos corpos de bombeiros militares:

a) ativos; e

b) inativos:

1. da reserva remunerada; e

2. reformados;

III - agentes penitenciários, peritos e papiloscopistas integrantes dos institutos oficiais de criminalística, de medicina legal e de identificação:

a) ativos;

b) inativos; e

c) aposentados;

IV - integrantes das guardas municipais, observado o disposto na Lei nº 13.022, de 8 de agosto de 2014:

a) ativos;

b) inativos; e

c) aposentados;

V - agentes socioeducativos concursados;

VI - agentes de trânsito concursados; e

VII - policiais legislativos.

§ 1º Os dependentes e os cônjuges dos beneficiários falecidos em razão do exercício do cargo acessarão as mesmas condições aplicáveis aos beneficiários.

§ 2º É vedada aos integrantes das carreiras de agente socioeducativo, aos agentes de trânsito e aos policiais legislativos a concessão da subvenção de que trata o art. 10 desta Lei, o que não os impede de acessar outras condições especiais de crédito imobiliário, a critério dos agentes financeiros.";1070/2021;13 de setembro de 2021;Lei Ordinária;14312/2022;14 de março de 2022;Não encontrado;"Art. 5º São objetivos do Programa Habite Seguro:

I - auxiliar a superação das carências de natureza habitacional dos profissionais de segurança pública, de acordo com os interesses institucionais e sociais;

II - reduzir a exposição dos profissionais de segurança pública a riscos em decorrência de condições habitacionais a que estejam submetidos;

III - promover a melhoria da qualidade de vida dos profissionais de segurança pública; e

IV - valorizar os profissionais de segurança pública.

Art. 6º Ato do Poder Executivo federal disporá sobre:

I - as condições para a participação no Programa Habite Seguro;

II - os prazos para financiamento habitacional no âmbito do Programa Habite Seguro;

III - os limites de recursos orçamentários destinados ao Programa Habite Seguro; e

IV - as faixas de subvenção econômica e de remuneração.";;
Programa Prioritário Pró-Pesquisa Covid-19;Programa governamental;2022;Social;Saúde;"Ciência e Tecnologia;Saúde";"Ministério da Economia; Advocacia-Geral da União";"Universidades; Instituições de Pesquisa; Sistema de Saúde; Populaçao em geral";População em geral ;§ 3º A execução dos projetos deverá ser realizada exclusivamente por Instituições Científicas, Tecnológicas e de Inovação (ICTs) credenciadas perante o Ministério da Ciência, Tecnologia e Inovações, conforme regulamentação de que trata o § 2º deste artigo.;Não se aplica;Não se aplica;Lei Ordinária;14305/2022;23 de fevereiro de 2022;Não encontrado;"Art. 2º O objetivo do Programa Prioritário Pró-Pesquisa Covid-19 é incentivar as pessoas jurídicas a utilizarem recursos próprios para apoio à pesquisa, ao desenvolvimento e à inovação relacionados, direta ou indiretamente, à mitigação dos efeitos da Covid-19.

§ 1º Entendem-se por pesquisa, desenvolvimento e inovação os projetos que visem ao desenvolvimento de soluções e tecnologias para prevenção, controle, tratamento e mitigação das consequências sanitárias da Covid-19.";;
Programa de Energia Renovável Social (PERS);Programa governamental;2022;Desenvolvimento Econômico;Infraestrutura;"Energia;Agricultura;Desenvolvimento Regional e Territorial;;";"Ministério da Economia; Ministério de Minas e Energia";Cadeias produtivas de setores econômicas incentivados e/ou regulados;População em geral ;Sem especificação;Não se aplica;Não se aplica;Lei Ordinária;14300/2022;06 de janeiro de 2022;Não encontrado;Art. 36. Fica instituído o Programa de Energia Renovável Social (PERS), destinado a investimentos na instalação de sistemas fotovoltaicos e de outras fontes renováveis, na modalidade local ou remota compartilhada, aos consumidores da Subclasse Residencial Baixa Renda de que trata a Lei nº 12.212, de 20 de janeiro de 2010.;;
Programa de Transição Energética Justa (TEJ);Programa governamental;2022;Desenvolvimento Econômico;Infraestrutura;"Energia;Agricultura;Desenvolvimento Regional e Territorial;;";Ministério de Minas e Energia;Cadeias produtivas de setores econômicas incentivados e/ou regulados;região carbonífera do Estado de Santa Catarina;região carbonífera do Estado de Santa Catarina;Não se aplica;Não se aplica;Lei Ordinária;14299/2022;05 de janeiro de 2022;Não encontrado;"Art. 4º É criado o Programa de Transição Energética Justa (TEJ), com vistas a promover uma transição energética justa para a região carbonífera do Estado de Santa Catarina, observados os impactos ambientais, econômicos e sociais e a valorização dos recursos energéticos e minerais alinhada à neutralidade de carbono a ser atingida em conformidade com as metas definidas pelo Governo Federal, que incluirá também a contratação de energia elétrica gerada pelo Complexo Termelétrico Jorge Lacerda (CTJL), na modalidade energia de reserva prevista nos arts. 3º e 3º-A da Lei nº 10.848, de 15 de março de 2004, em quantidade correspondente ao consumo do montante mínimo de compra de carvão mineral nacional estipulado nos contratos vigentes na data de publicação desta Lei.

§ 1º O TEJ tem o objetivo de preparar a região carbonífera do Estado de Santa Catarina para o provável encerramento, até 2040, da atividade de geração termelétrica a carvão mineral nacional sem abatimento da emissão de gás carbônico (CO2), com consequente finalização da exploração desse minério na região para esse fim, de forma tempestiva, responsável e sustentável.";;
