nome_politica;tipo_politica;ano;grande_area;area;subareas;orgaos;publico_alvo;publico_alvo_categ;publico_alvo_legislacao;medida_provisoria;medida_provisoria_inicio_vigencia;instrumento_legal;legislacao;vigencia_inicio;vigencia_fim;objetivos;observacoes;acao_orcamentaria_assoc
Carteira da pessoa idosa;Programa governamental;2006;Social;Assistência Social;"Assistência Social;;;;";Ministério dos Transportes;Popula��o em situa��o de vulnerabilidade social;Crianças e Idosos;"§ 2º  Terão direito ao Auxílio Emergencial Pecuniário de que trata o caput :

I - as famílias que constavam como beneficiárias do Programa Bolsa Família em janeiro de 2019; e

II - os beneficiários do Benefício de Prestação Continuada e da Renda Mensal Vitalícia com benefício ativo em janeiro de 2019.";Não se aplica;Não se aplica;Decreto;5934/2006;18 de outubro de 2006;19 de julho de 2019;"Art 2º, V - bilhete de viagem da pessoa idosa - documento que comprove a concessão do transporte gratuito da pessoa idosa, fornecido pela empresa prestadora do serviço de transporte, para possibilitar o ingresso da pessoa idosa no veículo.
Art. 6º , § 2º - A comprovação de renda será feita mediante a apresentação de um dos seguintes documentos:
Art. 6º , § 2º , inciso V - documento ou carteira emitida pelas Secretarias Estaduais ou Municipais de Assistência Social ou congêneres.";Há um decreto em vigor (9.921/2019), que substituiu o anterior e dispõe sobre gratuidade de tranporte para pessoas idosas.;#N/A
Estratégia Nacional de Defesa;Estratégia;2008;Defesa e Segurança;Defesa Nacional;"Defesa Nacional;;;;";Ministério da Defesa;Popula��o em situa��o de vulnerabilidade social;Sistema Nacional de Defesa;"Art. 2º...     ...trabalhador que cumpra cumulativamente os seguintes requisitos:                                              I - seja maior de 18 (dezoito) anos de idade, salvo no caso de mães adolescentes; (Redação dada pela Lei nº 13.998, de 2020)

II - não tenha emprego formal ativo;

III - não seja titular de benefício previdenciário ou assistencial ou beneficiário do seguro-desemprego ou de programa de transferência de renda federal, ressalvado, nos termos dos §§ 1º e 2º, o Bolsa Família;

IV - cuja renda familiar mensal per capita seja de até 1/2 (meio) salário-mínimo ou a renda familiar mensal total seja de até 3 (três) salários mínimos;

V - que, no ano de 2018, não tenha recebido rendimentos tributáveis acima de R$ 28.559,70 (vinte e oito mil, quinhentos e cinquenta e nove reais e setenta centavos); e

VI - que exerça atividade na condição de:

a) microempreendedor individual (MEI);

b) contribuinte individual do Regime Geral de Previdência Social que contribua na forma do caput ou do inciso I do § 2º do art. 21 da Lei nº 8.212, de 24 de julho de 1991 ; ou

c) trabalhador informal, seja empregado, autônomo ou desempregado, de qualquer natureza, inclusive o intermitente inativo, inscrito no Cadastro Único para Programas Sociais do Governo Federal (CadÚnico) até 20 de março de 2020, ou que, nos termos de autodeclaração, cumpra o requisito do inciso IV.";Não se aplica;Não se aplica;Decreto;6703/2008;18 de dezembro de 2008;Não encontrado;#N/A;#N/A;NA
Estratégia Nacional de Fortalecimento dos Vínculos Familiares;Estratégia;2020;Social;Direitos Humanos;"Direitos da Cidadania;;;;";"Ministério da Mulher, da Família e dos Direitos Humanos; Ministério da Educação; Ministério da Cidadania; Ministério da Saúde; Casa Civil da Presidência da República";Outros;População em situação de vulnerabilidade social;"§ 1º Para fins do disposto no caput, os Municípios afetados constam de relação
disponível no sítio eletrônico do Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais
Renováveis, até a data de publicação desta Medida Provisória.";Não se aplica;Não se aplica;Decreto;10570/2020;1 de janeiro de 2021;Não encontrado;"Art. 3º São objetivos da Estratégia Nacional de Fortalecimento dos Vínculos Familiares:
I - apoiar, fortalecer e articular as iniciativas existentes no âmbito das competências das políticas coordenadas pelos órgãos do Poder Executivo federal e propor ações e aprimoramentos baseados em evidências e melhores práticas;
II - propor estratégias integradas que possam potencializar a articulação intersetorial, qualificar a atenção aos vínculos familiares no escopo das políticas públicas e potencializar os resultados;
III - promover a avaliação do impacto familiar das políticas, dos programas e das ações em elaboração ou implementados pelos órgãos do Poder Executivo federal, visando à elaboração de proposições que aprimorem a atenção às famílias no âmbito das políticas públicas;
IV - fomentar a pesquisa, a produção e a divulgação de conhecimento acerca da realidade das famílias brasileiras e da relação entre os vínculos familiares e o bem-estar da população; e
V - articular os esforços entre o Governo federal e a sociedade civil, em prol da valorização, do apoio e do fortalecimento dos vínculos familiares.";#N/A;NA
Força Nacional de Segurança Pública;Programa governamental;2004;Defesa e Segurança;Justiça e Segurança Pública;"Segurança Pública;;;;";Ministério da Justiça;Crian�as e Idosos;Sistema de Segurança Pública;"a) a proteção à família, à maternidade, à infância, à adolescência e à velhice;    ";Não se aplica;Não se aplica;Decreto;5289/2004;30 de novembro de 2004;Não encontrado;"Art. 2o  A Força Nacional de Segurança Pública somente poderá atuar em atividades de policiamento ostensivo destinadas à preservação da ordem pública e da incolumidade das pessoas e do patrimônio, nas hipóteses previstas neste Decreto e no ato formal específico de adesão dos Estados interessados.
Art. 2o  A Força Nacional de Segurança Pública atuará em atividades destinadas à preservação da ordem pública e da incolumidade das pessoas e do patrimônio, nas hipóteses previstas neste Decreto e no ato formal de adesão dos Estados e do Distrito Federal. (Redação dada pelo Decreto nº 7.318, de 2010).";Entra?;Programa sem ação orçamentária associada
Plano Brasil Sem Miséria;Plano;2011;Social;Assistência Social;"Assistência Social;;;;";"Ministério da Cidadania; Ministério da Economia; Ministério da Educação; Ministério do Desenvolvimento Regional; Ministério da Mulher, da Família e dos Direitos Humanos";Minorias sociais (negros, mulheres, comunidade LGBTQIA+ e pessoas com defici�ncia);População em situação de vulnerabilidade social;"a) a proteção à família, à maternidade, à infância, à adolescência e à velhice;    ";Não se aplica;Não se aplica;Decreto;7492/2011;02 de junho de 2011;Não encontrado;Art. 1º Fica instituído o Plano Brasil Sem Miséria, com a finalidade de superar a situação de extrema pobreza da população em todo o território nacional, por meio da integração e articulação de políticas, programas e ações.;https://www.mds.gov.br/webarquivos/publicacao/brasil_sem_miseria/wwp/BSM_introducao_PORT.pdf;#N/A
Plano de Desenvolvimento Territorial Sustentável do Xingu;Plano;2010;Desenvolvimento Econômico;Desenvolvimento Regional;"Desenvolvimento regional e territorial;;;;";"Casa Civil da Presidência da República; Ministério da Integração Nacional; Ministério do Meio Ambiente";Popula��o em situa��o de vulnerabilidade social;Populações e setores econômicos diretamente afetados por alterações no meio ambiente;beneficiários bolsa família, do BPC e pessoas com deficiência;Não se aplica;Não se aplica;Decreto;7340/2010;21 de outubro de 2010;Não encontrado;Art. 1o  Fica instituído o Plano de Desenvolvimento Regional Sustentável - PDRS do Xingu, com a finalidade de promover políticas públicas que resultem na melhoria da qualidade de vida da população que habita sua área de abrangência. ;Revogado pelo Decreto nº 10.524, de 20.10.2020 e reeditado por novo decreto DECRETO Nº 10.729, DE 23 DE JUNHO DE 2021 em 2021;Não se aplica
Plano de Desenvolvimento Territorial Sustentável para a área de influência da Rodovia BR-163 no Trecho Cuiabá/MT - Santarém/PA (Plano BR-163 Sustentável);Plano;2007;Desenvolvimento Econômico;Desenvolvimento Regional;"Desenvolvimento regional e territorial;;;;";"Casa Civil da Presidência da República; Ministério da Integração Nacional; Ministério do Meio Ambiente";Crian�as e Idosos;Populações e setores econômicos diretamente afetados por alterações no meio ambiente;"  - idoso: pessoa com idade igual ou superior a sessenta anos;";Não se aplica;Não se aplica;Decreto;6290/2007;9 de junho de 2006;Não encontrado;#N/A;BRASIL. Plano de Desenvolvimento Regional Sustentável para a Área de Influência da BR-163 (Cuiabá-Santarém). Versão Final. Brasília, DF: Casa Civil da Presidência da República, 2006a. Disponível em: <http://www.casacivil.gov.br/camaras/grupos/plano-br-163-sustentavel-versao-publicacao-9-junho-2006.pdf>. Acesso em: 28 jul 2009.;Não se aplica
Plano de Desenvolvimento Territorial Sustentável para o Arquipélago do Marajó;Plano;2006;Desenvolvimento Econômico;Desenvolvimento Regional;"Desenvolvimento regional e territorial;;;;";"Casa Civil da Presidência da República; Ministério da Integração Nacional; Ministério do Meio Ambiente";Sistema de Sa�de;Populações e setores econômicos diretamente afetados por alterações no meio ambiente;Sem especificação  População em geral;Não se aplica;Não se aplica;Decreto;s/n;26 de julho de 2006;07 de maio de 2019;CRIA O GRUPO EXECUTIVO INTERMINISTERIAL PARA ACOMPANHAR A IMPLEMENTAÇÃO DAS AÇÕES DE COMPETÊNCIA DO ÓRGÃOS FEDERAIS NO ARQUIPÉLAGO DE MARAJÓ, BEM ASSIM ELABORAR PLANO DE DESENVOLVIMENTO SUSTENTÁVEL EM ARTICULAÇÃO COM A SOCIEDADE CIVIL E OS GOVERNOS ESTADUAL E MUNICIPAIS, E DÁ OUTRAS PROVIDÊNCIAS.;revogado pelo decreto 9784/2019 e substituído pelo Programa 'Abrace o Marajó' em 2020;Não se aplica
Plano Nacional de Reforma Agrária (PNRA);Plano;1985;Social;Agropecuária e Agrária;"Organização Agrária;;;;";Ministério da Reforma e do Desenvolvimento Agrário;Popula��o em situa��o de vulnerabilidade social;Trabalhadores Rurais;Sem especificação;Não se aplica;Não se aplica;Decreto;91766/1985;10 de outubro de 1985;Não encontrado;Art . 1º, Fica aprovado o Plano Nacional de Reforma Agrária - PNRA, apresentado pelo Ministério da Reforma e do Desenvolvimento Agrário - MIRAD, para o período 1985/1989, abrangendo 01(hum) milhão e 400.000 (quatrocentas mil) famílias beneficiárias, nos termos do anexo que é parte integrante do presente Decreto.;Revogado pelo DECRETO Nº 9.757, DE 11 DE ABRIL DE 2019;NA
Plano Nacional de Saneamento Básico (Plansab);Plano;2013;Infraestrutura;Saúde;"Saneamento;;;;";Secretaria Nacional de Saneamento do Ministério do Desenvolvimento Regional;Sistema Nacional de Defesa;Sistema de Saúde;Sem especificação;Não se aplica;Não se aplica;Decreto;8114/2013;20 de novembro de 2013;Não encontrado;O Plano Nacional de Saneamento Básico (PLANSAB) consiste no planejamento integrado do saneamento básico considerando seus quatro componentes: abastecimento de água potável, esgotamento sanitário, coleta de lixo e manejo de resíduos sólidos e drenagem e manejo das águas pluviais urbanas, e possui o horizonte de 20 anos (2014 a 2033);No formulário, foram indicadas algumas leis que concernem a avaliação e também a alteração da ANA, creio que isso foge do escopo do projeto e não adicionei aqui;NA
